cause_of_death,category_human,train_test
malignant neoplasm tail of pancreas,pancreatic cancer,train
malignant neoplasm temporal lobe,none,train
malignant neoplasm testis unspecified,none,train
malignant neoplasm thoracic part of oesophagus,esophageal cancer,train
malignant neoplasm tongue unspecified,oral cavity cancer,train
malignant neoplasm tonsil unspecified,oral cavity cancer,test
malignant neoplasm tonsillar fossa,oral cavity cancer,train
malignant neoplasm tonsillar pillar anteriorposterior,oral cavity cancer,train
malignant neoplasm transverse colon,colorectal cancer,train
malignant neoplasm trigone of bladder,bladder cancer,train
malignant neoplasm unspecified,none,train
malignant neoplasm upper gum,oral cavity cancer,test
malignant neoplasm upper lobe bronchus or lung,lung cancer,test
malignant neoplasm upper respiratory tract part unspecified,none,test
malignant neoplasm upper third of oesophagus,esophageal cancer,test
malignant neoplasm urachus,bladder cancer,test
malignant neoplasm ureteric orifice,bladder cancer,train
malignant neoplasm urethra,none,train
malignant neoplasm urinary organ unspecified,none,train
malignant neoplasm uterine adnexa unspecified,none,train
malignant neoplasm uvula,oral cavity cancer,test
malignant neoplasm vallecula,none,train
malignant neoplasm ventral surface of tongue,oral cavity cancer,train
malignant neoplasm vertebral column,none,train
malignant neoplasm vestibule of mouth,oral cavity cancer,train
malignant neoplasm vulva unspecified,none,train
malignant neuroleptic syndrome,none,train
malignant otitis externa,none,train
malignent histiocytosis - from 2008 classification,none,test
malnutrition-related diabetes mellitus with ketoacidosis,none,test
mandibulofacial dysostosis,none,test
mania with psychotic symptoms,none,test
manic episode unspecified,none,train
mantle cell lymphoma,none,test
marfan syndrome,none,train
mast cell leukaemia,none,test
mastocytosis,none,train
mastoiditis unspecified,none,train
maternal care for intrauterine death,none,test
mature b-cell leukaemia burkitt-type,none,train
mature t/nk-cell lymphoma unspecified,none,train
measles complicated by encephalitis,none,train
measles complicated by pneumonia,none,test
measles without complication,none,train
mechanical strabismus,none,train
meckel diverticulum,none,train
meconium plug syndrome,none,test
mediastinal thymic large b-cell lymphoma,none,train
medullary cystic kidney,none,test
megacolon not elsewhere classified,none,train
megalencephaly,none,train
melaena,none,train
melanoma in situ of other sites,none,train
melanoma in situ of scalp and neck,none,train
melanoma in situ unspecified,none,train
melioidosis unspecified,none,train
melkersson syndrome,none,train
meningismus,none,train
meningitis due to other specified causes,none,train
meningitis unspecified,none,test
meningococcaemia unspecified,none,test
meningococcal infection unspecified,none,test
meningococcal meningitis,none,train
menopausal and female climacteric states,none,test
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances dependence syndrome,none,train
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances harmful use,none,train
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances residual and late-onset psychotic disorder,none,train
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances unspecified mental and behavioural disorder,none,train
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state,none,train
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state with delirium,none,train
mental and behavioural disorders due to use of alcohol amnesic syndrome,none,test
mental and behavioural disorders due to use of alcohol dependence syndrome,none,train
mental and behavioural disorders due to use of alcohol harmful use,none,train
mental and behavioural disorders due to use of alcohol residual and late-onset psychotic disorder,none,train
mental and behavioural disorders due to use of alcohol unspecified mental and behavioural disorder,none,test
mental and behavioural disorders due to use of alcohol withdrawal state,none,train
mental and behavioural disorders due to use of alcohol withdrawal state with delirium,none,train
mental and behavioural disorders due to use of cannabinoids dependence syndrome,none,test
mental and behavioural disorders due to use of cannabinoids harmful use,none,train
mental and behavioural disorders due to use of cannabinoids unspecified mental and behavioural disorder,none,train
mental and behavioural disorders due to use of cannabinoids withdrawal state,none,train
mental and behavioural disorders due to use of cocaine dependence syndrome,none,train
mental and behavioural disorders due to use of cocaine harmful use,none,train
mental and behavioural disorders due to use of cocaine unspecified mental and behavioural disorder,none,train
mental and behavioural disorders due to use of opioids dependence syndrome,none,test
mental and behavioural disorders due to use of opioids harmful use,none,test
mental and behavioural disorders due to use of opioids unspecified mental and behavioural disorder,none,train
mental and behavioural disorders due to use of other stimulants including caffeine dependence syndrome,none,train
mental and behavioural disorders due to use of other stimulants including caffeine harmful use,none,train
mental and behavioural disorders due to use of other stimulants including caffeine unspecified mental and behavioural disorder,none,train
mental and behavioural disorders due to use of sedatives or hypnotics dependence syndrome,none,train
mental and behavioural disorders due to use of tobacco unspecified mental and behavioural disorder,none,test
mental and behavioural disorders due to use of volatile solvents dependence syndrome,none,test
mental and behavioural disorders due to use of volatile solvents harmful use,none,train
mental and behavioural disorders due to use of volatile solvents unspecified mental and behavioural disorder,none,train
mental disorders and diseases of the nervous system complicating pregnancy childbirth and the puerperium,none,train
mesothelioma of other sites,none,train
mesothelioma of pericardium,none,train
mesothelioma of peritoneum,none,train
mesothelioma of pleura,none,train
mesothelioma unspecified,none,test
metabolic disorder unspecified,none,train
metaphyseal dysplasia,none,test
methaemoglobinaemia unspecified,none,train
microscopic polyangiitis,none,train
migraine unspecified,none,train
migraine with aura [classical migraine],none,test
mild cognitive disorder,none,test
mild hyperemesis gravidarum,none,train
miliary tuberculosis unspecified,none,test
minor partial trisomy,none,train
mitochondrial myopathy not elsewhere classified,none,test
mitral stenosis,none,train
mitral stenosis with insufficiency,none,train
mitral valve disease unspecified,none,train
mitral valve insufficiency,none,test
mitral valve prolapse,none,train
mixed anxiety and depressive disorder,none,train
mixed cortical and subcortical vascular dementia,cerebrovascular disease,train
mixed hyperlipidaemia,none,train
mixed small and large cell difuse - 2008 version,none,test
mnire disease,none,train
molybdenum deficiency,none,train
monoclonal gammopathy of undetermined significance mgus,none,test
monocytic leukaemia unspecified,none,train
mononeuritis multiplex,none,test
mononeuropathy unspecified,none,train
monoplegia of lower limb,none,test
morbidly adherent placenta,none,train
motor neuron disease,none,train
motorcycle rider [any] injured in other specified transport accidents,none,train
motorcycle rider [any] injured in unspecified nontraffic accident,none,train
motorcycle rider [any] injured in unspecified traffic accident,none,train
motorcycle rider injured in collision with car pick-up truck or van driver injured in traffic accident,none,train
motorcycle rider injured in collision with car pick-up truck or van passenger injured in traffic accident,none,test
motorcycle rider injured in collision with fixed or stationary object driver injured in nontraffic accident,none,train
motorcycle rider injured in collision with fixed or stationary object driver injured in traffic accident,none,train
motorcycle rider injured in collision with fixed or stationary object passenger injured in traffic accident,none,train
motorcycle rider injured in collision with fixed or stationary object unspecified motorcycle rider injured in traffic accident,none,train
motorcycle rider injured in collision with heavy transport vehicle or bus driver injured in traffic accident,none,train
motorcycle rider injured in collision with heavy transport vehicle or bus passenger injured in nontraffic accident,none,test
motorcycle rider injured in collision with heavy transport vehicle or bus passenger injured in traffic accident,none,test
motorcycle rider injured in collision with other nonmotor vehicle driver injured in traffic accident,none,train
motorcycle rider injured in collision with pedal cycle driver injured in traffic accident,none,train
motorcycle rider injured in collision with pedestrian or animal driver injured in traffic accident,none,train
motorcycle rider injured in collision with pedestrian or animal passenger injured in traffic accident,none,train
motorcycle rider injured in collision with railway train or railway vehicle driver injured in nontraffic accident,none,test
motorcycle rider injured in collision with railway train or railway vehicle driver injured in traffic accident,none,train
motorcycle rider injured in collision with two- or three-wheeled motor vehicle driver injured in nontraffic accident,none,test
motorcycle rider injured in collision with two- or three-wheeled motor vehicle driver injured in traffic accident,none,test
motorcycle rider injured in collision with two- or three-wheeled motor vehicle passenger injured in traffic accident,none,train
motorcycle rider injured in noncollision transport accident driver injured in nontraffic accident,none,train
motorcycle rider injured in noncollision transport accident driver injured in traffic accident,none,test
motorcycle rider injured in noncollision transport accident passenger injured in nontraffic accident,none,train
motorcycle rider injured in noncollision transport accident passenger injured in traffic accident,none,train
motorcycle rider injured in noncollision transport accident person injured while boarding or alighting,none,train
moyamoya disease,cerebrovascular disease,train
mucinosis of skin,none,test
mucocutaneous lymph node syndrome [kawasaki],none,test
mucopolysaccharidosis type i,none,train
mucopolysaccharidosis type ii,none,train
mucopolysaccharidosis unspecified,none,train
mucopurulent chronic bronchitis,pulmonary disease,train
mucormycosis unspecified,none,test
multi-infarct dementia,cerebrovascular disease,train
multi-system degeneration,none,train
multifocal and multisystemic disseminated langerhans-cell histiocytosis [letterer-siwe disease],none,test
multifocal and unisystemic langerhans-cell histiocytosis,none,test
multifocal fibrosclerosis,none,train
multiple congenital malformations not elsewhere classified,none,test
multiple myeloma,none,test
multiple system atrophy cerebellar type [msa-c] 2016 onwards,none,train
multiple valve disease unspecified,none,train
mumps encephalitis,none,train
mumps without complication,none,train
muscle strain,none,train
muscle wasting and atrophy not elsewhere classified,none,train
muscular dystrophy,none,test
myasthenia gravis,none,train
mycetoma unspecified,none,test
mycobacterial infection unspecified,none,test
mycoplasma infection unspecified site,none,train
mycosis fungoides,none,train
myelodysplastic and myeloproliferative disease not elsewhere classified,none,train
myelodysplastic syndrome unspecified,none,train
myelodysplastic syndrome with isolated del5q chromosomal abnormality,none,test
myeloid leukaemia unspecified,acute myeloid leukemia,train
myeloid sarcoma,none,train
myocardial degeneration,none,train
myocarditis unspecified,none,train
myoclonus,none,train
myoneural disorder unspecified,none,train
myopathy unspecified,none,train
myositis ossificans progressiva,none,train
myositis unspecified,none,train
myotonic disorders,none,train
myxoedema coma,none,train
naevus non-neoplastic,none,train
narcolepsy and cataplexy,none,train
nasal polyp unspecified,none,test
necrotizing fasciitis,none,train
necrotizing vasculopathy unspecified,none,train
neonatal aspiration of meconium,none,test
neonatal aspiration syndrome unspecified,none,test
neonatal candidiasis,none,test
neonatal cardiac dysrhythmia,none,train
neonatal cardiac failure,none,train
neonatal cerebral ischaemia,none,train
neonatal cerebral leukomalacia,none,test
neonatal conjunctivitis and dacryocystitis,none,test
neonatal jaundice from other and unspecified hepatocellular damage,none,train
neoplasm of uncertain or unknown behaviour adrenal gland,none,test
neoplasm of uncertain or unknown behaviour aortic body and other paraganglia,none,test
neoplasm of uncertain or unknown behaviour appendix,none,test
neoplasm of uncertain or unknown behaviour bladder,bladder cancer,train
neoplasm of uncertain or unknown behaviour bone and articular cartilage,none,train
neoplasm of uncertain or unknown behaviour brain infratentorial,none,train
neoplasm of uncertain or unknown behaviour brain supratentorial,none,train
neoplasm of uncertain or unknown behaviour brain unspecified,none,train
neoplasm of uncertain or unknown behaviour breast,none,train
neoplasm of uncertain or unknown behaviour carotid body,none,train
neoplasm of uncertain or unknown behaviour central nervous system unspecified,none,train
neoplasm of uncertain or unknown behaviour cerebral meninges,none,test
neoplasm of uncertain or unknown behaviour colon,colorectal cancer,train
neoplasm of uncertain or unknown behaviour connective and other soft tissue,none,test
neoplasm of uncertain or unknown behaviour cranial nerves,none,test
neoplasm of uncertain or unknown behaviour craniopharyngeal duct,none,train
neoplasm of uncertain or unknown behaviour digestive organ unspecified,none,test
neoplasm of uncertain or unknown behaviour endocrine gland unspecified,none,test
neoplasm of uncertain or unknown behaviour female genital organ unspecified,none,test
neoplasm of uncertain or unknown behaviour kidney,kidney cancer,train
neoplasm of uncertain or unknown behaviour larynx,larynx cancer,test
neoplasm of uncertain or unknown behaviour lip oral cavity and pharynx,oral cavity cancer,train
neoplasm of uncertain or unknown behaviour liver gallbladder and bile ducts,none,train
neoplasm of uncertain or unknown behaviour mediastinum,none,train
neoplasm of uncertain or unknown behaviour meninges unspecified,none,train
neoplasm of uncertain or unknown behaviour neoplasm of uncertain or unknown behaviour unspecified,none,train
neoplasm of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue unspecified,none,train
neoplasm of uncertain or unknown behaviour other digestive organs,none,train
neoplasm of uncertain or unknown behaviour other female genital organs,none,train
neoplasm of uncertain or unknown behaviour other male genital organs,none,test
neoplasm of uncertain or unknown behaviour other respiratory organs,none,test
neoplasm of uncertain or unknown behaviour other specified sites,none,train
neoplasm of uncertain or unknown behaviour ovary,none,test
neoplasm of uncertain or unknown behaviour parathyroid gland,none,test
neoplasm of uncertain or unknown behaviour peripheral nerves and autonomic nervous system,none,train
neoplasm of uncertain or unknown behaviour peritoneum,none,train
neoplasm of uncertain or unknown behaviour pineal gland,none,train
neoplasm of uncertain or unknown behaviour pituitary gland,none,test
neoplasm of uncertain or unknown behaviour placenta,none,train
neoplasm of uncertain or unknown behaviour pleura,none,test
neoplasm of uncertain or unknown behaviour pluriglandular involvement,none,train
neoplasm of uncertain or unknown behaviour prostate,prostate cancer,test
neoplasm of uncertain or unknown behaviour rectum,colorectal cancer,train
neoplasm of uncertain or unknown behaviour renal pelvis,none,train
neoplasm of uncertain or unknown behaviour respiratory organ unspecified,none,train
neoplasm of uncertain or unknown behaviour retroperitoneum,none,train
neoplasm of uncertain or unknown behaviour skin,none,train
neoplasm of uncertain or unknown behaviour small intestine,none,train
neoplasm of uncertain or unknown behaviour spinal cord,none,train
neoplasm of uncertain or unknown behaviour spinal meninges,none,train
neoplasm of uncertain or unknown behaviour stomach,stomach cancer,train
neoplasm of uncertain or unknown behaviour testis,none,train
neoplasm of uncertain or unknown behaviour thymus,none,test
neoplasm of uncertain or unknown behaviour thyroid gland,none,test
neoplasm of uncertain or unknown behaviour trachea bronchus and lung,lung cancer,train
neoplasm of uncertain or unknown behaviour ureter,none,train
neoplasm of uncertain or unknown behaviour urethra,none,train
neoplasm of uncertain or unknown behaviour urinary organ unspecified,none,train
neoplasm of uncertain or unknown behaviour uterus,none,test
nephrogenic diabetes insipidus,none,train
nephropathy induced by heavy metals,none,train
nephropathy induced by other drugs medicaments and biological substances,none,train
nephropathy induced by unspecified drug medicament or biological substance,none,train
nephrotic syndrome diffuse mesangial proliferative glomerulonephritis,none,train
nephrotic syndrome focal and segmental glomerular lesions,none,train
nephrotic syndrome minor glomerular abnormality,none,train
nephrotic syndrome other,none,train
nephrotic syndrome unspecified,none,train
neurasthenia,none,train
neurofibromatosis nonmalignant,none,train
neurogenic bowel not elsewhere classified,none,test
neuromuscular dysfunction of bladder unspecified,none,train
neuromuscular scoliosis,none,test
neuromyelitis optica [devic],none,test
neuronal ceroid lipofuscinosis,none,test
neuropathic heredofamilial amyloidosis,none,train
neuropathy in association with hereditary ataxia,none,train
neurosyphilis unspecified,none,test
nocardiosis unspecified,none,test
nodular lymphocyte predominant hodgkin lymphoma,none,test
nodular sclerosis classical hodgkin lymphoma,none,test
nodules of vocal cords,none,train
non-follicular diffuse lymphoma unspecified,none,train
non-hodgkin lymphoma unspecified,none,train
non-insulin-dependent diabetes mellitus with coma,none,train
non-insulin-dependent diabetes mellitus with ketoacidosis,none,train
non-insulin-dependent diabetes mellitus with multiple complications,none,train
non-insulin-dependent diabetes mellitus with neurological complications,none,train
non-insulin-dependent diabetes mellitus with ophthalmic complications,none,train
non-insulin-dependent diabetes mellitus with other specified complications,none,train
non-insulin-dependent diabetes mellitus with peripheral circulatory complications,none,train
non-insulin-dependent diabetes mellitus with renal complications,none,train
non-insulin-dependent diabetes mellitus without complications,none,train
non-neuropathic heredofamilial amyloidosis,none,train
nonfamilial hypogammaglobulinaemia,none,train
noninfective disorder of lymphatic vessels and lymph nodes unspecified,none,train
noninfective gastroenteritis and colitis unspecified,none,train
noninfective neonatal diarrhoea,none,test
noninflammatory disorder of ovary fallopian tube and broad ligament unspecified,none,train
noninflammatory disorder of uterus unspecified,none,train
noninflammatory disorder of vagina unspecified,none,test
noninflammatory disorder of vulva and perineum unspecified,none,train
nonobstructive reflux-associated chronic pyelonephritis,none,train
nonpyogenic meningitis,none,train
nonpyogenic thrombosis of intracranial venous system,cerebrovascular disease,train
nonrheumatic mitral valve disorder unspecified,none,train
nonrheumatic mitral valve stenosis,none,test
nonrheumatic tricuspid valve disorder unspecified,none,train
nonrheumatic tricuspid valve insufficiency,none,train
nonrheumatic tricuspid valve stenosis,none,test
nonspecific intraventricular block,none,train
nonspecific lymphadenitis unspecified,none,train
nonspecific urethritis,none,test
nontoxic goitre unspecified,none,test
nontoxic multinodular goitre,none,train
nontoxic single thyroid nodule,none,train
nontraumatic extradural haemorrhage,cerebrovascular disease,train
nonunion of fracture [pseudarthrosis],none,train
normal-pressure hydrocephalus,none,train
nquest adjourned,none,test
nutritional anaemia unspecified,none,test
nutritional deficiency unspecified,none,test
obesity unspecified,none,train
obsessive-compulsive disorder unspecified,none,train
obstetric and gynaecological devices associated with adverse incidents miscellaneous devices not elsewhere classified,none,train
obstetric blood-clot embolism,none,train
obstruction of bile duct,none,test
obstruction of duodenum,none,train
obstruction of gallbladder,none,train
obstructive and reflux uropathy unspecified,none,train
obstructive hydrocephalus,none,train
obstructive hypertrophic cardiomyopathy,none,train
occipital encephalocele,none,test
occupant [any] of heavy transport vehicle injured in other specified transport accidents,none,test
occupant [any] of heavy transport vehicle injured in unspecified nontraffic accident,none,train
occupant [any] of heavy transport vehicle injured in unspecified traffic accident,none,train
occupant [any] of pick-up truck or van injured in other specified transport accidents,none,train
occupant [any] of pick-up truck or van injured in unspecified traffic accident,none,train
occupant [any] of three-wheeled motor vehicle injured in unspecified traffic accident,none,train
occupant of aircraft injured in other specified air transport accidents,none,train
occupant of heavy transport vehicle injured in collision with car pick-up truck or van driver injured in traffic accident,none,test
occupant of heavy transport vehicle injured in collision with fixed or stationary object driver injured in nontraffic accident,none,train
occupant of heavy transport vehicle injured in collision with fixed or stationary object driver injured in traffic accident,none,train
occupant of heavy transport vehicle injured in collision with fixed or stationary object person on outside of vehicle injured in traffic accident,none,train
occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus driver injured in nontraffic accident,none,train
occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus driver injured in traffic accident,none,train
occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus person on outside of vehicle injured in nontraffic accident,none,train
occupant of heavy transport vehicle injured in noncollision transport accident driver injured in nontraffic accident,none,train
occupant of heavy transport vehicle injured in noncollision transport accident driver injured in traffic accident,none,train
occupant of heavy transport vehicle injured in noncollision transport accident passenger injured in traffic accident,none,train
occupant of heavy transport vehicle injured in noncollision transport accident person injured while boarding or alighting,none,train
occupant of heavy transport vehicle injured in noncollision transport accident person on outside of vehicle injured in nontraffic accident,none,test
occupant of heavy transport vehicle injured in noncollision transport accident person on outside of vehicle injured in traffic accident,none,train
occupant of heavy transport vehicle injured in noncollision transport accident unspecified occupant of heavy transport vehicle injured in traffic accident,none,train
occupant of pick-up truck or van injured in collision with car pick-up truck or van driver injured in traffic accident,none,train
occupant of pick-up truck or van injured in collision with fixed or stationary object driver injured in traffic accident,none,train
occupant of pick-up truck or van injured in collision with fixed or stationary object passenger injured in traffic accident,none,test
occupant of pick-up truck or van injured in collision with fixed or stationary object unspecified occupant of pick-up truck or van injured in traffic accident,none,test
occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus driver injured in traffic accident,none,train
occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus passenger injured in traffic accident,none,train
occupant of pick-up truck or van injured in collision with pedestrian or animal driver injured in traffic accident,none,train
occupant of pick-up truck or van injured in noncollision transport accident driver injured in traffic accident,none,test
occupant of pick-up truck or van injured in noncollision transport accident passenger injured in traffic accident,none,train
occupant of pick-up truck or van injured in noncollision transport accident person injured while boarding or alighting,none,train
occupant of pick-up truck or van injured in noncollision transport accident person on outside of vehicle injured in nontraffic accident,none,train
occupant of pick-up truck or van injured in noncollision transport accident person on outside of vehicle injured in traffic accident,none,test
occupant of pick-up truck or van injured in noncollision transport accident unspecified occupant of pick-up truck or van injured in nontraffic accident,none,test
occupant of pick-up truck or van injured in noncollision transport accident unspecified occupant of pick-up truck or van injured in traffic accident,none,test
occupant of railway train or railway vehicle injured by fall from railway train or railway vehicle,none,test
occupant of railway train or railway vehicle injured in collision with other object,none,train
occupant of railway train or railway vehicle injured in other specified railway accidents,none,train
occupant of railway train or railway vehicle injured in unspecified railway accident,none,train
occupant of streetcar injured by fall from streetcar,none,test
occupant of streetcar injured by fall in streetcar,none,train
occupant of streetcar injured in derailment without antecedent collision,none,train
occupant of streetcar injured in other specified transport accidents,none,test
occupant of three-wheeled motor vehicle injured in collision with car pick-up truck or van driver injured in traffic accident,none,test
occupant of three-wheeled motor vehicle injured in collision with car pick-up truck or van person injured while boarding or alighting,none,test
occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object driver injured in traffic accident,none,test
occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object person injured while boarding or alighting,none,train
occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus driver injured in traffic accident,none,train
occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus person injured while boarding or alighting,none,train
occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus person on outside of vehicle injured in traffic accident,none,test
occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle driver injured in nontraffic accident,none,train
occupant of three-wheeled motor vehicle injured in noncollision transport accident driver injured in nontraffic accident,none,train
occupant of three-wheeled motor vehicle injured in noncollision transport accident driver injured in traffic accident,none,train
occupant of three-wheeled motor vehicle injured in noncollision transport accident passenger injured in nontraffic accident,none,test
occupant of three-wheeled motor vehicle injured in noncollision transport accident person injured while boarding or alighting,none,train
occupant of three-wheeled motor vehicle injured in noncollision transport accident unspecified occupant of three-wheeled motor vehicle injured in traffic accident,none,train
oedema of larynx,none,test
oesophageal obstruction,none,test
oesophageal varices with bleeding,none,train
oesophageal varices without bleeding,none,train
oesophageal web,none,test
olecranon bursitis,none,train
opioids and related analgesics,none,train
oral mucositis ulcerative,none,train
orchitis epididymitis and epididymo-orchitis with abscess,none,train
orchitis epididymitis and epididymo-orchitis without abscess,none,test
organ-limited amyloidosis,none,train
organic delusional [schizophrenia-like] disorder,none,train
organic personality disorder,none,train
orthostatic hypotension,none,train
osteochondrodysplasia unspecified,none,train
osteogenesis imperfecta,none,train
osteolysis,none,test
osteomyelitis of vertebra,none,train
osteomyelitis unspecified,none,test
osteomyelofibrosis,none,test
osteonecrosis due to drugs,none,train
osteonecrosis unspecified,none,test
osteopetrosis,none,train
osteophyte,none,train
osteoporosis unspecified,none,train
other  chronic renal failure - from 2008 classification,none,train
other abnormal findings on diagnostic imaging of central nervous system,none,train
other abscess of pharynx,none,train
other acquired deformity of head,none,train
other acute gastritis,none,train
other acute myocarditis,none,train
other acute osteomyelitis,none,test
other acute pancreatitis,none,train
other acute rheumatic heart disease,none,test
other adrenocortical overactivity,none,train
other adrenogenital disorders,none,train
other air transport accidents not elsewhere classified,none,train
other aircraft accidents injuring occupant,none,train
other alzheimer disease,none,test
other amnesia,none,test
other amyloidosis,none,test
other and unspecified abdominal pain,none,train
other and unspecified abnormalities of breathing,none,train
other and unspecified abnormalities of heart beat,none,train
other and unspecified adrenocortical insufficiency,none,test
other and unspecified agents primarily acting on muscles,none,test
other and unspecified antidepressants,none,train
other and unspecified atrioventricular block,none,train
other and unspecified cirrhosis of liver,none,test
other and unspecified convulsions,none,test
other and unspecified gastroenteritis and colitis of infectious origin,none,test
other and unspecified general anaesthetics,none,train
other and unspecified genitourinary tract infection in pregnancy,none,train
other and unspecified hydronephrosis,none,test
other and unspecified intestinal obstruction,none,test
other and unspecified kyphosis,none,train
other and unspecified lesions of oral mucosa,none,train
other and unspecified medical devices associated with adverse incidents therapeutic nonsurgical and rehabilitative devices,none,train
other and unspecified ovarian cysts,none,train
other and unspecified premature depolarization,none,train
other and unspecified right bundle-branch block,none,train
other and unspecified symptoms and signs involving cognitive functions and awareness,none,train
other and unspecified symptoms and signs involving the nervous and musculoskeletal systems,none,train
other and unspecified water transport accidents other powered watercraft,none,train
other and unspecified water transport accidents other unpowered watercraft,none,train
other and unspecified water transport accidents unspecified watercraft,none,test
other antepartum haemorrhage,none,train
other antidysrhythmic drugs not elsewhere classified,none,test
other antineoplastic drugs,none,train
other aortic valve disorders,none,train
other apnoea of newborn,none,train
other atresia and stenosis of urethra and bladder neck,none,train
other atrophic disorders of skin,none,train
other atypical virus infections of central nervous system,none,test
other autoimmune haemolytic anaemias,none,test
other bacterial infections of unspecified site,none,train
other bacterial meningitis,none,train
other bacterial pneumonia,none,train
other bacterial sepsis of newborn,none,train
other benign neoplasm cervix uteri,none,test
other benign neoplasm corpus uteri,none,train
other benign neoplasm uterus unspecified,none,train
other bursitis not elsewhere classified,none,test
other bursitis of elbow,none,train
other bursitis of hip,none,train
other cardiomyopathies,none,train
other cardiovascular disorders originating in the perinatal period,none,test
other cerebral infarction,cerebrovascular disease,train
other cerebral palsy,none,train
other cervical disc degeneration,none,train
other cervical disc disorders,none,test
other cervical disc displacement,none,train
other childhood disintegrative disorder,none,test
other cholecystitis,none,train
other cholelithiasis,none,train
other chondrocalcinosis,none,train
other chorea,none,train
other chronic cystitis,none,train
other chronic diseases of tonsils and adenoids,none,train
other chronic hepatitis not elsewhere classified,none,train
other chronic osteomyelitis,none,train
other chronic pancreatitis,none,train
other chronic respiratory diseases originating in the perinatal period,none,train
other chronic suppurative otitis media,none,train
other chronic thyroiditis,none,train
other chronic viral hepatitis,none,train
other classical hodgkin lymphoma,none,train
other combined immunodeficiencies,none,train
other complications associated with artificial fertilization,none,test
other complications of obstetric surgery and procedures,none,train
other complications of spinal and epidural anaesthesia during labour and delivery,none,train
other conditions related to polyarteritis nodosa,none,train
other congenital deformities of chest,none,train
other congenital deformities of feet,none,train
other congenital hydrocephalus,none,train
other congenital ichthyosis,none,test
other congenital malaria,none,train
other congenital malformation syndromes due to known exogenous causes,none,train
other congenital malformation syndromes with other skeletal changes,none,test
other congenital malformations of abdominal wall,none,train
other congenital malformations of anterior segment of eye,none,train
other congenital malformations of aorta,none,train
other congenital malformations of aortic and mitral valves,none,train
other congenital malformations of bile ducts,none,test
other congenital malformations of bladder and urethra,none,train
other congenital malformations of bony thorax,none,test
other congenital malformations of bronchus,none,train
other congenital malformations of cardiac chambers and connections,none,train
other congenital malformations of cardiac septa,none,train
other congenital malformations of diaphragm,none,test
other congenital malformations of great arteries,none,train
other congenital malformations of great veins,none,test
other congenital malformations of hair,none,test
other congenital malformations of larynx,none,train
other congenital malformations of liver,none,train
other congenital malformations of lung,none,test
other congenital malformations of musculoskeletal system,none,train
other congenital malformations of oesophagus,none,test
other congenital malformations of pancreas and pancreatic duct,none,train
other congenital malformations of pharynx,none,train
other congenital malformations of pulmonary artery,none,train
other congenital malformations of pulmonary valve,none,train
other congenital malformations of renal artery,none,train
other congenital malformations of ribs,none,test
other congenital malformations of spine not associated with scoliosis,none,train
other congenital malformations of trachea,none,train
other congenital malformations of tricuspid valve,none,train
other congenital malformations of upper limbs including shoulder girdle,none,test
other congenital malformations of ureter,none,train
other congenital viral diseases,none,train
other cushing syndrome,none,train
other cyst of bone,none,train
other cystitis,none,train
other cytomegaloviral diseases,none,train
other deletions from the autosomes,none,train
other deletions of part of a chromosome,none,test
other delirium,none,train
other depressive episodes,none,test
other dermatomyositis,none,test
other diagnostic agents,none,train
other dietary vitamin b12 deficiency anaemia,none,train
other diseases of capillaries,none,train
other diseases of larynx,none,train
other diseases of pharynx,none,train
other diseases of salivary glands,none,test
other diseases of spleen,none,train
other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy childbirth and the puerperium,none,train
other diseases of tongue,none,train
other diseases of vocal cords,none,train
other disorders of autonomic nervous system,none,train
other disorders of bilirubin metabolism,none,train
other disorders of branched-chain amino-acid metabolism,none,train
other disorders of electrolyte and fluid balance not elsewhere classified,none,train
other disorders of facial nerve,none,train
other disorders of globe,none,test
other disorders of glycoprotein metabolism,none,train
other disorders of intestinal carbohydrate absorption,none,test
other disorders of lipoprotein metabolism,none,train
other disorders of lung,pulmonary disease,test
other disorders of pituitary gland,none,train
other disorders of purine and pyrimidine metabolism,none,train
other disorders of vestibular function,none,train
other disorders resulting from impaired renal tubular function,none,train
other dissociative [conversion] disorders,none,train
other drug-induced secondary parkinsonism,none,train
other drugs and medicaments,none,train
other dystonia,none,train
other emphysema,pulmonary disease,test
